method,auroc,auprc,auroc_std,auprc_std
Proposed residual score,0.994,0.9953846153846154,0.0134164078649987,0.0103203137423066
PCA-Q,0.9364331226958892,0.9038653068230684,0.0,0.0
Autoencoder,0.7683015115877595,0.8283204455678999,0.0,0.0
DPCA-Q,0.690763787707427,0.7205628514453823,0.0,0.0
OCSVM,0.6893737273917442,0.7721993020240101,0.0,0.0
IsolationForest,0.4228165307699084,0.5490354255052641,0.0,0.0
PCA-T2,0.5112976731329426,0.6766203021994028,0.0,0.0
